CREATE TABLE IF NOT EXISTS "streams" ("id" INTEGER PRIMARY KEY AUTOINCREMENT NOT NULL, "name" varchar, "station_id" integer, "created_at" datetime NOT NULL, "updated_at" datetime NOT NULL, "url_type" varchar, "head_is_working" boolean, "listen_is_working" boolean, "use_web" boolean, "source_type" varchar
1,'http://95.154.202.117:14142',1,'2017-01-10 15:22:52.117546','2018-06-22 11:49:57.849409','Stream','f','t','f',''
2,'http://sa.mp3.icecast.magma.edge-access.net:7200/sc_rad30',4,'2017-01-10 15:26:24.907237','2018-06-22 11:53:31.449201','Stream','f','t','f','audio/mpeg'
7,'http://63.247.65.202:8304/stream',6,'2017-01-12 10:35:18.505461','2019-07-11 06:54:18.720135','Stream','f','t','f',''
8,'http://buecrplb01.cienradios.com.ar/825_Del_Lago_32000.aac',7,'2017-01-12 10:53:10.852092','2019-07-11 07:01:11.800777','Stream','f','t','f','application/ogg'
11,'http://servidor.i-live.com.ar:8022/',8,'2017-01-13 13:31:10.734156','2017-07-01 14:37:47.873886','Stream','f','t','f',''
12,'https://radio.bariloche2000.com/stream',5,'2017-01-13 15:03:29.566786','2017-12-07 02:05:28.659294','Stream','f','t','f','audio/webm'
13,'http://sa.mp3.icecast.magma.edge-access.net:7200/sc_rad37',9,'2017-01-18 22:54:26.009780','2019-07-11 06:35:11.671234','Stream','f','t','f',''
14,'http://radios.argentina.fm:9270/live',10,'2017-01-18 22:58:03.362579','2017-02-03 15:07:08.425069','Stream','f','t','f',''
15,'http://195.154.182.222:25373/live?type=.mp3',11,'2017-01-18 23:02:09.037897','2017-01-18 23:53:34.682968','Stream','f','t','f',NULL
16,'https://15913.live.streamtheworld.com/SAM04AAC07_SC',12,'2017-01-18 23:50:11.952573','2019-07-11 01:23:47.849064','Stream','f','t','f',''
17,'http://108.59.9.147/proxy/arvlyxui?mp=/;stream/1',13,'2017-01-18 23:58:00.395850','2019-07-11 06:21:50.284976','Stream','f','t','f',''
18,'http://18103.live.streamtheworld.com/ASPENAAC.aac?csegid=2000&tdsdk=js-2.9&pname=TDSdk&pversion=2.9&banners=300x250&sbmid=ff80b915-e37a-4c9a-b819-86138d8aaf61',14,'2017-01-19 00:00:06.999135','2019-07-11 04:29:41.130583','Stream','f','t','f','audio/wave'
19,'http://buecrp01.cienradios.com.ar/La100_Main.aac',15,'2017-01-19 00:01:53.850850','2019-07-11 04:31:34.105848','Stream','f','t','f',''
20,'https://server1.stweb.tv/mega983/live/chunks.m3u8?nimblesessionid=33230715',16,'2017-01-19 00:03:36.455586','2019-07-11 04:42:01.329717','Stream','f','t','t',''
21,'rtmp://200.69.47.99/live/audioweb',17,'2017-01-19 00:06:22.096503','2017-01-19 00:06:22.096503','Stream','f','t','f',NULL
22,'http://sa.mp3.icecast.magma.edge-access.net:7200/sc_rad39',18,'2017-01-19 00:22:09.116867','2019-07-11 06:36:08.448171','Stream','f','t','f',''
23,'http://www.servidorstreaming2.com:9962/;',19,'2017-01-19 05:17:08.823099','2019-07-11 06:44:41.585796','Stream','f','t','t',''
24,'http://192.99.38.174:9342/stream',20,'2017-01-19 05:22:02.917385','2018-08-28 01:31:46.887971','Stream','f','t','f',''
25,'http://67.212.166.178:7570/stream',21,'2017-01-19 05:42:10.380982','2019-07-11 05:07:35.767911','Stream','f','t','f',''
26,'http://20283.live.streamtheworld.com/CONTINENTAL.mp3',22,'2017-01-19 05:46:04.505129','2019-07-11 04:59:22.478338','Stream','f','t','f',''
27,'http://209.95.35.49:7012/stream',23,'2017-01-19 05:47:52.972757','2018-03-13 16:26:57.501561','Stream','f','t','f',''
28,'http://181.119.157.98:8000/amdelplata.mp3',24,'2017-01-19 06:13:15.580120','2019-07-11 05:01:16.265872','Stream','f','t','f',''
29,'http://69.175.20.242:8122/live',25,'2017-01-19 06:19:23.856323','2017-01-19 06:19:23.856323','Stream','f','t','f',''
30,'http://buecrplb01.cienradios.com.ar/Mitre790.aac',26,'2017-01-19 06:21:14.841469','2017-01-19 06:21:14.841469','Stream','f','t','f',''
31,'https://la_red.secure2.footprint.net/egress/bhandler/streamroot_lsd2latam/la_red/manifest.m3u8',27,'2017-01-19 06:24:13.569593','2019-07-11 06:09:51.269408','Stream','f','t','f','audio/mpeg'
32,'http://www.alsolnet.com/stream/radio9/listen.pls',28,'2017-01-19 06:33:31.741467','2017-01-19 06:36:13.178385','Stream','f','t','f',''
33,'http://217.182.239.23:8126/;',29,'2017-01-19 16:55:55.327780','2019-07-11 05:49:57.192607','Stream','f','f','t','audio/mpeg'
